,AOU,Common name
503,7370,Mexican Chickadee
504,7410,Chestnut-backed Chickadee
505,7400,Boreal Chickadee
506,7352,unid. Carolina
507,7353,unid. Black-capped
508,7354,unid. Black-capped
509,7351,unid. western
510,7340,Bridled Titmouse
511,7330,Oak Titmouse
512,7331,Juniper Titmouse
513,7332,unid. Oak
514,7310,Tufted Titmouse
515,7320,Black-crested Titmouse
516,7315,unid. Tufted
517,7460,Verdin Auripare
518,7430,Bushtit Mésange
519,7280,Red-breasted Nuthatch
520,7270,White-breasted Nuthatch
521,7300,Pygmy Nuthatch
522,7290,Brown-headed Nuthatch
523,7260,Brown Creeper
524,7150,Rock Wren
525,7170,Canyon Wren
526,7210,House Wren
527,7221,Pacific Wren
528,7222,Winter Wren
529,7220,unid. Pacific
530,7240,Sedge Wren
531,7250,Marsh Wren
532,7180,Carolina Wren
533,7190,Bewick's Wren
534,7130,Cactus Wren
535,16600,Sinaloa Wren
536,7510,Blue-gray Gnatcatcher
537,7530,California Gnatcatcher
538,7520,Black-tailed Gnatcatcher
539,7539,unid. Blue-gray
540,7010,American Dipper
541,7480,Golden-crowned Kinglet
542,7490,Ruby-crowned Kinglet
543,7470,Arctic Warbler
544,7420,Wrentit Cama
545,7640,Bluethroat Gorgebleue
546,7650,Northern Wheatear
547,7660,Eastern Bluebird
548,7670,Western Bluebird
549,7680,Mountain Bluebird
550,7540,Townsend's Solitaire
551,7560,Veery Grive
552,7570,Gray-cheeked Thrush
553,7571,Bicknell's Thrush
554,7580,Swainson's Thrush
555,7590,Hermit Thrush
556,7550,Wood Thrush
557,7621,Clay-colored Thrush
558,7610,American Robin
559,7630,Varied Thrush
560,7040,Gray Catbird
561,7070,Curve-billed Thrasher
562,7050,Brown Thrasher
563,7060,Long-billed Thrasher
564,7080,Bendire's Thrasher
565,7100,California Thrasher
566,7110,LeConte's Thrasher
567,7120,Crissal Thrasher
568,7020,Sage Thrasher
569,7031,Bahama Mockingbird
570,7030,Northern Mockingbird
571,4930,European Starling
572,4932,Common Myna
573,6180,Bohemian Waxwing
574,6190,Cedar Waxwing
575,6185,unid. Cedar
576,6200,Phainopepla Phénopèple
577,6510,Olive Warbler
578,19500,Northern Red
579,19510,Pin-tailed Whydah
580,8110,Scaly-breasted Munia
581,6882,House Sparrow
582,6883,Eurasian Tree
583,6960,Eastern Yellow
584,6940,White Wagtail
585,6990,Red-throated Pipit
586,6970,American Pipit
587,7000,Sprague's Pipit
588,5140,Evening Grosbeak
589,5150,Pine Grosbeak
590,5240,Gray-crowned Rosy-Finch
591,5250,Black Rosy-Finch
592,5260,Brown-capped Rosy-Finch
593,5190,House Finch
594,5170,Purple Finch
595,5180,Cassin's Finch
596,5195,unid. Purple
597,5280,Common Redpoll
