,Common name,Scientific name,2018 IUCN Red List category,2022 IUCN Red List category,AOU
2664,Elegant Tern,Thalasseus elegans,NT,NT,660
2665,Sandwich Tern,Thalasseus sandvicensis,LC,LC,670
2666,Royal Tern,Thalasseus maximus,LC,LC,650
2668,Long-tailed Jaeger,Stercorarius longicaudus,LC,LC,380
2670,Pomarine Jaeger,Stercorarius pomarinus,LC,LC,360
2675,Rhinoceros Auklet,Cerorhinca monocerata,LC,LC,150
2676,Tufted Puffin,Fratercula cirrhata,LC,LC,120
2678,Horned Puffin,Fratercula corniculata,LC,LC,140
2679,Cassin's Auklet,Ptychoramphus aleuticus,NT,NT,160
2685,Marbled Murrelet,Brachyramphus marmoratus,EN,EN,230
2686,Kittlitz's Murrelet,Brachyramphus brevirostris,NT,NT,240
2687,Black Guillemot,Cepphus grylle,LC,LC,270
2688,Pigeon Guillemot,Cepphus columba,LC,LC,290
2690,Ancient Murrelet,Synthliboramphus antiquus,LC,LC,210
2698,Thick-billed Murre,Uria lomvia,LC,LC,310
2699,Common Murre,Uria aalge,LC,LC,300
2792,Elf Owl,Micrathene whitneyi,LC,LC,3810
2793,Burrowing Owl,Athene cunicularia,LC,LC,3780
2798,Boreal Owl,Aegolius funereus,LC,LC,3710
2864,Short-eared Owl,Asio flammeus,LC,LC,3670
2868,Flammulated Owl,Psiloscops flammeolus,LC,LC,3740
2902,Spotted Owl,Strix occidentalis,NT,NT,3690
2903,Barred Owl,Strix varia,LC,LC,3680
2913,Snowy Owl,Bubo scandiacus,VU,VU,3760
2941,Turkey Vulture,Cathartes aura,LC,LC,3250
2946,California Condor,Gymnogyps californianus,CR,CR,3240
2952,White-tailed Kite,Elanus leucurus,LC,LC,3280
2958,Hook-billed Kite,Chondrohierax uncinatus,LC,LC,3271
2960,Swallow-tailed Kite,Elanoides forficatus,LC,LC,3270
3038,Golden Eagle,Aquila chrysaetos,LC,LC,3490
3067,Northern Harrier,Circus hudsonius,LC,LC,3310
3110,Sharp-shinned Hawk,Accipiter striatus,LC,LC,3320
3111,Cooper's Hawk,Accipiter cooperii,LC,LC,3330
3116,Northern Goshawk,Accipiter gentilis,LC,LC,3340
3130,Bald Eagle,Haliaeetus leucocephalus,LC,LC,3520
3144,Mississippi Kite,Ictinia mississippiensis,LC,LC,3290
3146,Snail Kite,Rostrhamus sociabilis,LC,LC,3300
3149,Harris's Hawk,Parabuteo unicinctus,LC,LC,3350
3162,White-tailed Hawk,Geranoaetus albicaudatus,LC,LC,3410
3175,Red-shouldered Hawk,Buteo lineatus,LC,LC,3390
3176,Broad-winged Hawk,Buteo platypterus,LC,LC,3430
3179,Short-tailed Hawk,Buteo brachyurus,LC,LC,3440
3180,Swainson's Hawk,Buteo swainsoni,LC,LC,3420
3182,Zone-tailed Hawk,Buteo albonotatus,LC,LC,3400
3183,Red-tailed Hawk,Buteo jamaicensis,LC,LC,3370
3186,Ferruginous Hawk,Buteo regalis,LC,LC,3480
3244,Elegant Trogon,Trogon elegans,LC,LC,3890
3432,Ringed Kingfisher,Megaceryle torquata,LC,LC,3901
3433,Belted Kingfisher,Megaceryle alcyon,LC,LC,3900
3437,Green Kingfisher,Chloroceryle americana,LC,LC,3910
3857,Gilded Flicker,Colaptes chrysoides,LC,LC,4140
3887,Pileated Woodpecker,Hylatomus pileatus,LC,LC,4050
3898,Williamson's Sapsucker,Sphyrapicus thyroideus,LC,LC,4040
3899,Yellow-bellied Sapsucker,Sphyrapicus varius,LC,LC,4020
3900,Red-naped Sapsucker,Sphyrapicus nuchalis,LC,LC,4021
3901,Red-breasted Sapsucker,Sphyrapicus ruber,LC,LC,4030
3904,Lewis's Woodpecker,Melanerpes lewis,LC,LC,4080
3907,Red-headed Woodpecker,Melanerpes erythrocephalus,LC,LC,4060
3908,Acorn Woodpecker,Melanerpes formicivorus,LC,LC,4070
3922,Gila Woodpecker,Melanerpes uropygialis,LC,LC,4110
3924,Red-bellied Woodpecker,Melanerpes carolinus,LC,LC,4090
3925,Golden-fronted Woodpecker,Melanerpes aurifrons,LC,LC,4100
3928,Black-backed Woodpecker,Picoides arcticus,LC,LC,4000
3959,Downy Woodpecker,Dryobates pubescens,LC,LC,3940
3960,Ladder-backed Woodpecker,Dryobates scalaris,LC,LC,3960
3961,Nuttall's Woodpecker,Dryobates nuttallii,LC,LC,3970
3962,Hairy Woodpecker,Leuconotopicus villosus,LC,LC,3930
3963,Arizona Woodpecker,Leuconotopicus arizonae,LC,LC,3975
3965,Red-cockaded Woodpecker,Leuconotopicus borealis,NT,NT,3950
3966,White-headed Woodpecker,Leuconotopicus albolarvatus,LC,LC,3990
4006,Crested Caracara,Caracara cheriway,LC,LC,3620
4032,American Kestrel,Falco sparverius,LC,LC,3600
4047,Aplomado Falcon,Falco femoralis,LC,LC,3590
4060,Prairie Falcon,Falco mexicanus,LC,LC,3550
4061,Peregrine Falcon,Falco peregrinus,LC,LC,3560
4116,Monk Parakeet,Myiopsitta monachus,LC,LC,3824
4120,Yellow-chevroned Parakeet,Brotogeris chiriri,LC,LC,52021
4245,Nanday Parakeet,Aratinga nenday,LC,LC,51830
5412,Rose-throated Becard,Pachyramphus aglaiae,LC,LC,4411
5685,Great Kiskadee,Pitangus sulphuratus,LC,LC,4490
5693,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,LC,LC,4510
5709,Tropical Kingbird,Tyrannus melancholicus,LC,LC,4460
5710,Couch's Kingbird,Tyrannus couchii,LC,LC,4461
5711,Cassin's Kingbird,Tyrannus vociferans,LC,LC,4480
5712,Thick-billed Kingbird,Tyrannus crassirostris,LC,LC,4451
5713,Western Kingbird,Tyrannus verticalis,LC,LC,4470
5714,Eastern Kingbird,Tyrannus tyrannus,LC,LC,4440
5718,Scissor-tailed Flycatcher,Tyrannus forficatus,LC,LC,4430
5719,Fork-tailed Flycatcher,Tyrannus savana,LC,LC,4420
5732,Dusky-capped Flycatcher,Myiarchus tuberculifer,LC,LC,4550
5745,Brown-crested Flycatcher,Myiarchus tyrannulus,LC,LC,4530
5748,Ash-throated Flycatcher,Myiarchus cinerascens,LC,LC,4540
